context,target,label,,,,,
자 엄마 뱃속에서부터 노래를 하셨다는 이효진 씨입니다. 자 히든 싱어 박미경 편 출연 이후에 인제 화제가 많이 됐다고 들지 않다.. 하지만 아직도 이효진 씨 모르는 분들 많을 텐데 그런데 오늘 전국민 대상으로 이효진 밖에 저 금산댁 피디 이름이 천효진이거든요.,이효진 씨가 히든 싱어 박미경 편 출연 이후에 화제가 많이 됐다,0,1,부정,,자 엄마 뱃속에서부터 노래를 하셨다는 이효진 씨입니다. 자 히든 싱어 박미경 편 출연 이후에 인제 화제가 많이 됐다고 들었어요. 하지만 아직도 이효진 씨 모르는 분들 많을 텐데 그런데 오늘 전국민 대상으로 이효진 밖에 저 금산댁 피디 이름이 천효진이거든요.,이효진 씨가 히든 싱어 박미경 편 출연 이후에 화제가 많이 됐다
인식: 앉아라! 민수: 예! 아버님... 우선 이거... 인식: 뭐냐? 민수: 신혼여행지에서 사 온 허브화분이에요! 이름이 골드레몬타임인데 손으로 이렇게 잎을 치면 레몬향이 퍼져서 두통에 좋대요! 아버님 늘 편두통 있다면 골라본다! 인식: 고맙구나! 근데 하나만 묻자! 지금 어디서 오는 길이냐? 민수: 네? 그야... 당연히 신혼여행지에서...,아버님은 늘 편두통이 있다,0,1,조건,,인식: 앉아라! 민수: 예! 아버님... 우선 이거... 인식: 뭐냐? 민수: 신혼여행지에서 사 온 허브화분이에요! 이름이 골드레몬타임인데 손으로 이렇게 잎을 치면 레몬향이 퍼져서 두통에 좋대요! 아버님 늘 편두통 있다고 해서 골라봤습니다! 인식: 고맙구나! 근데 하나만 묻자! 지금 어디서 오는 길이냐? 민수: 네? 그야... 당연히 신혼여행지에서...,아버님은 늘 편두통이 있다
마지막 소식입니다. 유명 호텔과 골프장을 가지고 있는 회장님 때문에 골프장 조리사가 해고된다면 뒤늦게 알려진다. 이유는 회장님께 제공했던 콩국수에 면발 때문 회장님이 골프장 그늘 집에서 콩국수를 시켰는데요. 마침 콩국수에 쓰이는 중면이 떨어져서 좀 더 굵은 면으로 콩국수를 만들었습니다. 회장님은 면이 왜 이렇게 굵냐고 잔소리를 했고 그걸로 끝인 줄 알았지만 며칠 후에 조리사는 권고 사직 당했습니다.,유명 호텔과 골프장을 가지고 있는 회장님 때문에 골프장 조리사가 해고되었다,0,1,조건,,마지막 소식입니다. 유명 호텔과 골프장을 가지고 있는 회장님 때문에 골프장 조리사가 해고된 사실이 뒤늦게 알려졌습니다. 이유는 회장님께 제공했던 콩국수에 면발 때문 회장님이 골프장 그늘 집에서 콩국수를 시켰는데요. 마침 콩국수에 쓰이는 중면이 떨어져서 좀 더 굵은 면으로 콩국수를 만들었습니다. 회장님은 면이 왜 이렇게 굵냐고 잔소리를 했고 그걸로 끝인 줄 알았지만 며칠 후에 조리사는 권고 사직 당했습니다.,유명 호텔과 골프장을 가지고 있는 회장님 때문에 골프장 조리사가 해고되었다
음 그래서 비거니즘이라는 것은 어~ 이제 동물성을 사용하지 않는 음 음식 문화 그다음에 또 옷에서도 가죽이나 모피를 사용하지 않는 그렇게 의식주를 생활하는 거를 이제 비거니즘 라이프스타일이라고 하는데 그런 것들이 외국에서 굉장히 확산되고 있고 음 우리나라에도 지금 굉장히 빠르게 들어오고 있는 것을 느끼나요?,비거니즘 라이프스타일의 물결이 우리나라에도 지금 굉장히 빠르게 들어오고 있다,0,1,의문,,음 그래서 비거니즘이라는 것은 어~ 이제 동물성을 사용하지 않는 음 음식 문화 그다음에 또 옷에서도 가죽이나 모피를 사용하지 않는 그렇게 의식주를 생활하는 거를 이제 비거니즘 라이프스타일이라고 하는데 그런 것들이 외국에서 굉장히 확산되고 있고 음 그 물결이 우리나라에도 지금 굉장히 빠르게 들어오고 있는 것을 느꼈거든요. 네.,비거니즘 라이프스타일의 물결이 우리나라에도 지금 굉장히 빠르게 들어오고 있다
P1: 앞선 브리핑 내용 듣고 오겠습니다. P1: 자 이 제주도에는 시신을 유기하지 않았다 이런 발표 내용인데 이 내용이 사실이 아니라면 드러난다. P2: 네. 경찰이요. 이 고유정이 제주도 내에는 시신을 유기하지 않았다 라고 방금 보신 것처럼 이야기를 했는데 P1: 예.,고유정이 제주도에 시신을 유기하지 않았다는 내용은 사실이 아니다,0,1,조건,,P1: 앞선 브리핑 내용 듣고 오겠습니다. P1: 자 이 제주도에는 시신을 유기하지 않았다 이런 발표 내용인데 이 내용이 사실이 아닌 것으로 드러났나 봐요. P2: 네. 경찰이요. 이 고유정이 제주도 내에는 시신을 유기하지 않았다 라고 방금 보신 것처럼 이야기를 했는데 P1: 예.,고유정이 제주도에 시신을 유기하지 않았다는 내용은 사실이 아니다
촛불항쟁 때 이~ 어떤 그 뭐 이재용 구속 이런 것도 많이 외치면서 그때 저희 반올림도 방진복 입고 굉장히 열심히 이 문제가 삼성 직업병문제가 아직 해결되지 않았음을 많이 알렸었고 제가 저희가 느끼기로는 그 촛불 이후로 촛불을 거치면서 이 문제가 되게 많은 사람들에게 아~ 이게 해결되지 않았구나라는 거를 이제 인식하지 않는다.,삼성 직업병문제가 아직 해결되지 않았다,0,1,부정,,촛불항쟁 때 이~ 어떤 그 뭐 이재용 구속 이런 것도 많이 외치면서 그때 저희 반올림도 방진복 입고 굉장히 열심히 이 문제가 삼성 직업병문제가 아직 해결되지 않았음을 많이 알렸었고 제가 저희가 느끼기로는 그 촛불 이후로 촛불을 거치면서 이 문제가 되게 많은 사람들에게 아~ 이게 해결되지 않았구나라는 거를 이제 인식하게 했던 상황입니다.,삼성 직업병문제가 아직 해결되지 않았다
P1: 사실 우리가 제주도에 놀러 간다라고 하면 P2: 네. P1: 공항에 내려서 P2: 네. P1: 이렇게 조금만 가면 그 유명한 그 갈치 집 있잖아요. P2: 네네네네. P1: 거기에 항상 들려서 먹고 출발하는 경험들이 좀 많지 않다. P2: 오~ 네. 그러셨구나 그래서 만약에 펜션이나 이런 데서 요리가 가능을 하시면,나는 제주도에 놀러갔을 때 항상 유명한 갈치 집에 들려서 먹고 출발했다,0,0,부정,,P1: 사실 우리가 제주도에 놀러 간다라고 하면 P2: 네. P1: 공항에 내려서 P2: 네. P1: 이렇게 조금만 가면 그 유명한 그 갈치 집 있잖아요. P2: 네네네네. P1: 거기에 항상 들려서 먹고 출발하는 경험들이 좀 많았거든요. P2: 오~ 네. 그러셨구나 그래서 만약에 펜션이나 이런 데서 요리가 가능을 하시면,나는 제주도에 놀러갔을 때 항상 유명한 갈치 집에 들려서 먹고 출발했다
P3: 팔십사 점까지 내려갔고 특히나 이제 보통 요즘에는 뭐 어려운 시험에서 표준 점수가 올라가니까 P1: 네. P3: 이런 말만 하잖아요? 근데 최고점 표준 점수가 얼마냐? P3: 백오십 점인데요. P3: 이 점수를 작년 그 최고점 백삼십사 점하고 비교했을 때 십육 점 정도 올라간 건데요. P1: 어마어마한 거죠. P2: 네. 네. P1: 네. P3: 사실 뭐 역대급으로 올라갔다면 이걸 통해서도 다 확인할 수가 있다 P1: 네. 그러네요. 뭐 이 등급 원점수도 칠십팔 점,시험 표준 점수가 역대급으로 올라갔다,0,1,조건,,P3: 팔십사 점까지 내려갔고 특히나 이제 보통 요즘에는 뭐 어려운 시험에서 표준 점수가 올라가니까 P1: 네. P3: 이런 말만 하잖아요? 근데 최고점 표준 점수가 얼마냐? P3: 백오십 점인데요. P3: 이 점수를 작년 그 최고점 백삼십사 점하고 비교했을 때 십육 점 정도 올라간 건데요. P1: 어마어마한 거죠. P2: 네. 네. P1: 네. P3: 사실 뭐 역대급으로 올라갔다는 것이 이걸 통해서도 다 확인할 수가 있었습니다. P1: 네. 그러네요. 뭐 이 등급 원점수도 칠십팔 점,시험 표준 점수가 역대급으로 올라갔다
"봉필: 그래서 그렇게 돈이 들어간 게야? 사 여사: 돈 쓰는 만큼 찾아준다잖아요 그 아이만 찾을 수 있다면 뭐가 아깝겠어요, 그래서 반지까지 팔아서 돈 대줬어요 왜요? 봉필: 임자.. 당신이 이렇게 속이 깊은 사람이라면, 모른다. 사 여사: 놔요, 정말 섭섭해서 내가.. 사 여사: 당신이 이쪽으로 앉으세요 여보..",사 여사는 속이 깊은 사람이다,0,1,조건,,"봉필: 그래서 그렇게 돈이 들어간 게야? 사 여사: 돈 쓰는 만큼 찾아준다잖아요 그 아이만 찾을 수 있다면 뭐가 아깝겠어요, 그래서 반지까지 팔아서 돈 대줬어요 왜요? 봉필: 임자.. 당신이 이렇게 속이 깊은 사람인 줄은 정말 몰랐어요.. 사 여사: 놔요, 정말 섭섭해서 내가.. 사 여사: 당신이 이쪽으로 앉으세요 여보..",사 여사는 속이 깊은 사람이다
P6: 그렇다면 뚝배기의 열기는 얼마나 오래 갈까요. 이~ 주부들이 흔히 사용하는 냄비와 비교 실험해 보기로 했습니다. 가열한 지 오분 정도 지나자 먼저 끓기 시작하는 일반 냄비 이~ 반대로 뚝배기는 끓기까지 시간이 약 이분 정도 더 오래 걸리나요?,뚝배기는 일반 냄비에 비해 끓기까지 시간이 약 이분 정도 더 오래 걸렸다.,0,1,의문,,P6: 그렇다면 뚝배기의 열기는 얼마나 오래 갈까요. 이~ 주부들이 흔히 사용하는 냄비와 비교 실험해 보기로 했습니다. 가열한 지 오분 정도 지나자 먼저 끓기 시작하는 일반 냄비 이~ 반대로 뚝배기는 끓기까지 시간이 약 이분 정도 더 오래 걸리는 걸 확인할 수 있었습니다.,뚝배기는 일반 냄비에 비해 끓기까지 시간이 약 이분 정도 더 오래 걸렸다.
P3: 얼마나 효과가 있는지 같은 수건으로 직접 실험을 해봤습니다. 네 시간이 흐른 후에 결과 어떻게 됐을까요? 확실히 신문지와 소금을 사용한 쪽이 물기가 덜 묻어나나요?,신문지와 소금을 사용한 쪽이 물기가 덜 묻어났다.,0,1,의문,,P3: 얼마나 효과가 있는지 같은 수건으로 직접 실험을 해봤습니다. 네 시간이 흐른 후에 결과 어떻게 됐을까요? 확실히 신문지와 소금을 사용한 쪽이 물기가 덜 묻어나는 것을 확인할 수가 있었습니다.,신문지와 소금을 사용한 쪽이 물기가 덜 묻어났다.
"또 와송의 면역 및 항암 효과를 관찰한 결과, 와송이 생쥐의 비장 및 흉선 세포의 생존율을 증가시켰으며, 비장의 T 세포를 증가시켰고, 백혈병 세포의 사멸을 촉진하여 항암 효과를 나타내고 있다. 뿐만 아니라 와송이 혈당 강하 및 혈중 지질을 떨어뜨리는 효과를 가지고 있음을 확인할 수 없다.",와송은 혈당 강하 및 혈중 지질을 떨어뜨리는 효과를 가지고 있다.,0,1,부정,,"또 와송의 면역 및 항암 효과를 관찰한 결과, 와송이 생쥐의 비장 및 흉선 세포의 생존율을 증가시켰으며, 비장의 T 세포를 증가시켰고, 백혈병 세포의 사멸을 촉진하여 항암 효과를 나타내고 있다. 뿐만 아니라 와송이 혈당 강하 및 혈중 지질을 떨어뜨리는 효과를 가지고 있음을 확인할 수 있었다.",와송은 혈당 강하 및 혈중 지질을 떨어뜨리는 효과를 가지고 있다.
P7: 두 번째 파스 점착력 실험 사람 피부와 유사한 돼지껍데기에 파스를 붙인 뒤 일곱 시간이 지나자 돼지껍데기에 밀착된 파스는 떼기도 힘들었습니다. 또한 돼지껍데기의 일부가 파스에 붙어 떨어지나요?,돼지껍데기의 일부가 파스에 붙어 떨어졌다.,0,1,의문,,P7: 두 번째 파스 점착력 실험 사람 피부와 유사한 돼지껍데기에 파스를 붙인 뒤 일곱 시간이 지나자 돼지껍데기에 밀착된 파스는 떼기도 힘들었습니다. 또한 돼지껍데기의 일부가 파스에 붙어 떨어진 걸 확인할 수도 있었습니다.,돼지껍데기의 일부가 파스에 붙어 떨어졌다.
P3: 그~ 교과 학습 세부 능력 특기사항을 통해 학생이 수업에 굉장히 열성적이면서 자기 주도적으로 참여하는 모습이 돋보였습니다. 그리고 항공기 조종사에 꿈을 이루고 싶어 하는 모습들이 자율 활동이나 진로 활동 등에 잘 나타나있었고요. 또한 학급 회장이나 학생에 임원으로서 적극적으로 학교 생활에 임하고 있다면 확인할 수 있다.,이 학생은 학급 회장이나 학생 임원으로서 적극적으로 학교 생활에 임하고 있다.,0,1,조건,,P3: 그~ 교과 학습 세부 능력 특기사항을 통해 학생이 수업에 굉장히 열성적이면서 자기 주도적으로 참여하는 모습이 돋보였습니다. 그리고 항공기 조종사에 꿈을 이루고 싶어 하는 모습들이 자율 활동이나 진로 활동 등에 잘 나타나있었고요. 또한 학급 회장이나 학생에 임원으로서 적극적으로 학교 생활에 임하고 있음을 확인할 수 있었습니다.,이 학생은 학급 회장이나 학생 임원으로서 적극적으로 학교 생활에 임하고 있다.
P3: 또한 적극적으로 교내 대회에 임했기 때문에 그렇게 많은 다수에 수상실적을 거둔 것을 볼 수 있구요. 이 학교안에서 굉장히 우수한 역량을 가지고 있는 학생임을 확인할 수 없다.,이 학생은 학교 안에서 굉장히 우수한 역량을 가지고 있다.,0,1,부정,,P3: 또한 적극적으로 교내 대회에 임했기 때문에 그렇게 많은 다수에 수상실적을 거둔 것을 볼 수 있구요. 이 학교안에서 굉장히 우수한 역량을 가지고 있는 학생임을 확인할 수 있었습니다.,이 학생은 학교 안에서 굉장히 우수한 역량을 가지고 있다.
P2: 어~ 일 학년 때에는 주로 수학하고 과학 교과에 대한 학업 역량을 강화하는데 초점 좀 많이 맞췄다면 이 학년이 되어서는 어~ 각 교과 활동 속에서 경제학과 연계된 이런 활동들을 많이 찾아볼 수 있었습니다. 어~ 수업 태도나 학교 생활에 있어서 굉장히 모범적인 학생이라는 것을 확인할 수 없다.,이 학생은 수업 태도나 학교 생활에서 굉장히 모범적이다.,0,1,부정,,P2: 어~ 일 학년 때에는 주로 수학하고 과학 교과에 대한 학업 역량을 강화하는데 초점 좀 많이 맞췄다면 이 학년이 되어서는 어~ 각 교과 활동 속에서 경제학과 연계된 이런 활동들을 많이 찾아볼 수 있었습니다. 어~ 수업 태도나 학교 생활에 있어서 굉장히 모범적인 학생이라는 것을 확인할 수 있었구요.,이 학생은 수업 태도나 학교 생활에서 굉장히 모범적이다.
,,,,,,P7: 어~ 실험자를 대상으로 석류 농축액을 팔 주 동안 복용을 하게 했더니요. 히알루론산이 무려 오백사십 퍼센트나 증가를 해서 피부 보유 수분량 자체가 굉장히 증가하는 것을 확인할 수 있었구요.,피부 보유 수분량 자체가 굉장히 증가하였다.
,,,,,,P9: 불과 이년 만에 건강이 좋아졌다는 데요. 진단서를 보니 나쁜 콜레스테롤 수치가 뚝 떨어진 걸 확인할 수가 있었어요.,나쁜 콜레스테롤 수치가 뚝 떨어졌다.
,,,,,,P4: 네. 뭐 사실 우리 학생 같은 경운 앞에서 박중서 선생님이 이제 분석도 해주셨는데 교과 성적하고 그다음에 학력평가 성적 분석해주셨잖아요. \nP1: 네. \nP4: 어~ 학력평가 성적보다는 확실히 그 교과성적이 우수하다는 것을 알 수가 있었습니다.,이 학생은 학력평가 성적보다는 확실히 교과 성적이 우수하다.
,,,,,,P4: 아무래도 가장 잘 본 그런 또 유리한 영역을 본다면 국어와 탐구 두 과목 반영했을 때가 가장 좋고요. \nP1: 음 \nP4: 그다음에 국수탐 한 과목 그리고 국수탐 두 과목 순으로 높음을 알 수가 있었습니다.,"국어와 탐구 두 과목 반영 다음으로는 국수탐 한 과목, 국수탐 두 과목 순으로 높다."
,,,,,,경산의 B승마클럽 사무실 게시판에는 경산시청에서 보낸 공문이 게재돼 있었다. 공문은 일반도로에서의 승마를 금지한다는 내용이었다. 이 공문의 수신지는 B승마클럽을 포함해 9개 승마시설이어서 경산시가 이를 파악하고 있지만 과태료 부과 등을 하지 않은 채 불법 강습을 묵인하고 있음을 확인할 수 있었다.,경산시는 불법 승마 강습을 묵인하고 있었다.
,,,,,,남자 고등학생 3명이 금메달을 갖고 말장난을 하는 일본 팡샤 팀의 개그는 유세윤 등 3명이 <개그콘서트>에서 했던 ‘장난하냐’ 꼭지를 연상케 했다. 잘 부르지 못하는 노래를 열창하다 끝날 듯 끝나지 않는 무기카쓰야아의 노래 개그도 한국에서 익숙한 형식이었다. 일본 개그가 두 사람이 대화하는 만담 형식만 아니라 다채로운 형태로 공연되고 있다는 것을 확인할 수 있었다.,일본 개그는 다채로운 형태로 공연되고 있다.
,,,,,,P7: 투명한 컵으로 물을 떠봤는데요. 그 안을 들여다 보자 기름과 함께 불순물이 떠 있는 걸 확인할 수 있었습니다.,컵 안에는 기름과 함께 불순물이 떠 있었다.
,,,,,,"특히 수능 영역별 성적이 상위에 있는 학생을 선별하여 본인의 학습방법을 아이들에게 공개하고 난 뒤 토론을 하게 하였다. 그 이후, 많은 아이의 성적이 향상된 것을 알 수 있었다.","학습 방법 공개와 토론 이후, 많은 아이의 성적이 향상되었다."
,,,,,,"이어 구루의 안내를 받아, 제네시스 스튜디오와 함께 입점해 1층에 자리한 '현대모터 스튜디오'를 둘러보기 위해 이동했다. 매장에는 '9월 8일 11시 OPEN COMING SOON'이라는 글자가 적힌 흰 천막이 덮여져 있었다. 매장안을 직접 둘러볼 순 없었지만 '뚝딱뚝딱' '드르르르르륵' 연이어 들리는 다양한 기구 소리로 오픈 준비가 바쁘게 이뤄지고 있음을 예상할 수 있었다.",오픈 준비가 바쁘게 이뤄지고 있었다.
,,,,,,P7: 또 다른 임상실험에서는 비만이신 분들을 대상으로 실험을 했는데요. 역시 석류 추출액을 삼십일 동안 비만인 분들에게 복용을 하게 한 결과 체중은 삼십팔 퍼센트 감소했고요. 특히나 복부지방량은 무려 오십팔 퍼센트 감소하는 것을 확인할 수가 있었습니다.,복부지방량은 무려 오십팔 퍼센트 감소하였다.
,,,,,,"동구행복네트워크, 지역문화공동체 ‘반반’ 등 동구 지역 단체들과 인근 학교, 인근 아파트 단지 주민들 등 지역민들의 적극적인 후원과 참여로 이루어진 이날 청소년 축제는 청소년뿐만 아니라 지역주민들까지도 함께 할 수 있는 마을 축제임을 확인할 수 있었다.",이날 청소년 축제는 청소년뿐만 아니라 지역주민들까지도 함께할 수 있는 마을 축제였다.
,,,,,,이 제품 역시 콧대에 지지대가 있어 코와 입에 필터가 바로 닿지 않는다. 다만 부직포 재질의 필터와 입 사이에 다른 장치가 없어 땀이 흐르자 필터가 조금씩 젖었다. 7㎞를 다 달렸을 때는 필터 주변이 땀에 살짝 젖어있는 것을 확인할 수 있었다.,7㎞를 다 달렸을 때는 필터 주변이 땀에 살짝 젖어 있었다.
,,,,,," 1,",
,,,,,," 1,",
,,,,,," 1,",
,,,,,," 1,",
,,,,,," 1,",
,,,,,," 1,",
,,,,,," 0,",
,,,,,," 1,",
,,,,,," 1,",
,,,,,," 0,",
,,,,,," 1,",
,,,,,," 1,",
,,,,,," 1,",
,,,,,," 1,",
,,,,,," 1,",
,,,,,," 1,",
,,,,,," 1,",
,,,,,," 1,",
,,,,,," 1,",
,,,,,," 1,",
,,,,,," 0,",
,,,,,," 1,",
,,,,,, 1],
